"﻿VIODESCRIPTION",LOCATIONDESC1,ISSUEDATE,ISSUETIME,ObjectId,lat,lon
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,169-177 DUNDAS ST W,1/3/2021,3:34,204,43.5540487,-79.6465982
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,169-177 DUNDAS ST W,1/3/2021,3:35,205,43.5540487,-79.6465982
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,5260 MCFARREN BLVD,1/3/2021,3:35,206,43.5737498,-79.715011
STOPPING VEHICLE ON SIDEWALK,6852 DISCOVERY CRT,1/3/2021,3:36,207,43.5731515,-79.7837812
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,169-177 DUNDAS ST W,1/3/2021,3:37,208,43.5540487,-79.6465982
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,5260 MCFARREN BLVD,1/3/2021,3:37,209,43.5737498,-79.715011
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,1535 S PARADE CRT,1/3/2021,3:37,210,43.57626793859315,-79.68370500514578
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,169-177 DUNDAS ST W,1/3/2021,3:38,211,43.5540487,-79.6465982
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,5260 MCFARREN BLVD,1/3/2021,3:39,212,43.5737498,-79.715011
PARKING VEHICLE ON A HIGHWAY BETWEEN 2:00 A.M. TO 6:00 A.M. DURING PROHIBITED PE,NR 3501 INDIGO CRES,1/3/2021,3:41,213,43.5682921,-79.7747649
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,169-177 DUNDAS ST W,1/3/2021,3:42,214,43.5540487,-79.6465982
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,5525 PALMERSTON CRES,1/3/2021,3:42,215,43.57094779835061,-79.71626257263118
PARKING VEHICLE ON A HIGHWAY BETWEEN 2:00 A.M. TO 6:00 A.M. DURING PROHIBITED PE,3665 INDIGO CRES,1/3/2021,3:44,216,43.56767786655401,-79.77720589143642
PARKING VEHICLE ON A HIGHWAY BETWEEN 2:00 A.M. TO 6:00 A.M. DURING PROHIBITED PE,6400 SAPLING TRAIL,1/3/2021,3:48,217,43.564595972543565,-79.7708171115296
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,169-177 DUNDAS ST W,1/3/2021,3:48,218,43.5540487,-79.6465982
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,86 JOYMAR DR,1/3/2021,3:48,219,43.579047,-79.718009
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,169-177 DUNDAS ST W,1/3/2021,3:50,220,43.5540487,-79.6465982
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,549 NORTH SERVICE RD,1/3/2021,3:50,221,43.581121350000004,-79.58777898660402
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,1535 S PARADE CRT,1/3/2021,3:52,222,43.57626793859315,-79.68370500514578
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,5420 FALLINGBROOK DR,1/3/2021,3:54,223,43.5879824,-79.6878154
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,5420 FALLINGBROOK DR,1/3/2021,3:55,224,43.5879824,-79.6878154
PARKING VEHICLE ON A HIGHWAY BETWEEN 2:00 A.M. TO 6:00 A.M. DURING PROHIBITED PE,OP 3801 FOXWOOD AVE,1/3/2021,3:55,225,43.5617602,-79.7668614
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,2590 RUGBY RD,1/3/2021,3:59,226,43.5764175,-79.6201707
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,5637 RETREAT ST,1/3/2021,4:00,227,43.60649476470588,-79.68774739999999
PARKING VEHICLE ON A HIGHWAY BETWEEN 2:00 A.M. TO 6:00 A.M. DURING PROHIBITED PE,3830 FOREST BLUFF CRES,1/3/2021,4:00,228,43.56346827556325,-79.76330494541529
PARKING VEHICLE ON A HIGHWAY BETWEEN 2:00 A.M. TO 6:00 A.M. DURING PROHIBITED PE,OP 5517 HEATHERLEIGH AVE,1/3/2021,4:01,229,43.59898992615318,-79.6855738720735
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,5769 TIZ RD,1/3/2021,4:02,230,43.60751213912873,-79.6870837254402
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,2590 RUGBY RD,1/3/2021,4:02,231,43.5764175,-79.6201707
PARKING VEHICLE ON A HIGHWAY BETWEEN 2:00 A.M. TO 6:00 A.M. DURING PROHIBITED PE,NR 5511 HEATHERLEIGH AVE,1/3/2021,4:02,232,43.59878935103321,-79.68540284306141
PARKING VEHICLE LONGER THAN FIVE HOURS,NR 6407 ALDERWOOD TRAIL,1/2/2021,20:06,233,43.56688560107348,-79.76639458899388
PARKING VEHICLE ON A HIGHWAY BETWEEN 2:00 A.M. TO 6:00 A.M. DURING PROHIBITED PE,NR 3802 WINDHAVEN DR,1/3/2021,4:04,234,43.5603061,-79.7668313
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,5833 TIZ RD,1/3/2021,4:05,235,43.608580950594785,-79.68877359692165
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,2590 RUGBY RD,1/3/2021,4:05,236,43.5764175,-79.6201707
PARKING VEHICLE ON A HIGHWAY BETWEEN 2:00 A.M. TO 6:00 A.M. DURING PROHIBITED PE,OP 453 LANA TERR,1/3/2021,4:05,237,43.594472933688735,-79.60871011107952
PARKING VEHICLE ON A HIGHWAY BETWEEN 2:00 A.M. TO 6:00 A.M. DURING PROHIBITED PE,NR 3876 PONDVIEW WAY,1/3/2021,4:07,238,43.56098564454823,-79.76131693987769
PARKING VEHICLE ON A HIGHWAY BETWEEN 2:00 A.M. TO 6:00 A.M. DURING PROHIBITED PE,NR 5172 HEATHERLEIGH AVE,1/3/2021,4:08,239,43.59331966906795,-79.67633720259542
PARKING VEHICLE ON A HIGHWAY BETWEEN 2:00 A.M. TO 6:00 A.M. DURING PROHIBITED PE,NR 5172 HEATHERLEIGH AVE,1/3/2021,4:09,240,43.59331966906795,-79.67633720259542
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,60 BARONDALE DR,1/3/2021,4:10,241,43.6173589,-79.6642148
PARKING VEHICLE ON A HIGHWAY BETWEEN 2:00 A.M. TO 6:00 A.M. DURING PROHIBITED PE,NR 5143 HEATHERLEIGH AVE,1/3/2021,4:12,242,43.59291434334916,-79.67527216413389
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,60 BARONDALE DR,1/3/2021,4:12,243,43.6173589,-79.6642148
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,60 BARONDALE DR,1/3/2021,4:15,244,43.6173589,-79.6642148
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,85 BRISTOL RD E,1/3/2021,4:17,245,43.6156365,-79.662141
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,75 BRISTOL RD E,1/3/2021,4:18,246,43.6156365,-79.662141
PARKING VEHICLE ON A HIGHWAY BETWEEN 2:00 A.M. TO 6:00 A.M. DURING PROHIBITED PE,NR 6060 SNOWY OWL CRES,1/3/2021,4:19,247,43.5556814,-79.760384
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,20 CEREMONIAL DR,1/3/2021,4:19,248,43.6083541,-79.657693
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,119 BRISTOL RD E,1/3/2021,4:20,249,43.6160769,-79.6606572
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,20 CEREMONIAL DR,1/3/2021,4:21,250,43.6083541,-79.657693
PARKING VEHICLE ON A HIGHWAY BETWEEN 2:00 A.M. TO 6:00 A.M. DURING PROHIBITED PE,OP 3455 GALENA CRES,1/3/2021,4:22,251,43.59893478015281,-79.6170887408664
PARKING VEHICLE LONGER THAN FIVE HOURS,NR 874 SCOLLARD CRT,1/2/2021,20:11,252,43.591774,-79.673678
PARKING VEHICLE LONGER THAN FIVE HOURS,NR 6567 ALDERWOOD TRAIL,1/2/2021,20:14,253,43.56925503460971,-79.77011842722004
PARKING VEHICLE LONGER THAN FIVE HOURS,OP 5238 FAIRFORD CRES,1/2/2021,20:15,254,43.595104436239744,-79.67770561084201
PARKING VEHICLE LONGER THAN FIVE HOURS,OP 5295 FAIRFORD CRES,1/2/2021,20:17,255,43.59549865062057,-79.67974632603506
PARKING VEHICLE LONGER THAN FIVE HOURS,OP 6568 ALDERWOOD TRAIL,1/2/2021,20:17,256,43.56910756210892,-79.7703406593181
PARKING VEHICLE LONGER THAN FIVE HOURS,OP 6588 ALDERWOOD TRAIL,1/2/2021,20:19,257,43.569228943111845,-79.77095498236848
PARKING VEHICLE LONGER THAN FIVE HOURS,OP 1726 SHERWOOD FORREST CIR,1/2/2021,20:21,258,43.5409375,-79.6584598
PARKING VEHICLE LONGER THAN FIVE HOURS,NR 689 FOUR WINDS WAY,1/2/2021,20:25,259,43.604807,-79.6848892
PARKING VEHICLE LONGER THAN FIVE HOURS,NR 689 FOUR WINDS WAY,1/2/2021,20:26,260,43.604807,-79.6848892
PARKING VEHICLE LONGER THAN FIVE HOURS,NR 779 FOUR WINDS WAY,1/2/2021,20:27,261,43.60377367777778,-79.68470772777778
PARKING VEHICLE LONGER THAN FIVE HOURS,OP 5282 ROADSIDE WAY,1/2/2021,20:35,262,43.54082086139852,-79.73892071054007
PARKING HEAVY VEHICLE LONGER THAN FIVE HOURS,NR 6244 BELGRAVE RD,1/2/2021,20:35,263,43.6148542,-79.692817
PARKING VEHICLE LONGER THAN FIVE HOURS,OP 1396 NESDALE CRT,1/2/2021,20:40,264,43.52670301875034,-79.61727185131421
PARKING VEHICLE ON HIGHWAY WHICH IS IMMOBILE OR UNLICENSED,NR 212 LAKESHORE RD E,1/2/2021,20:44,265,43.55848055,-79.57866415000001
PARKING VEHICLE IN PROHIBITED AREA,NR 1102 KOS BLVD,1/2/2021,20:46,266,43.52497847242705,-79.61978751508283
PARKING HEAVY VEHICLE LONGER THAN FIVE HOURS,OP 3688 NASHUA DR,1/2/2021,20:52,267,43.7113193,-79.6221998
PARKING VEHICLE LONGER THAN FIVE HOURS,NR 1576 SANDGATE CRES,1/2/2021,21:03,268,43.5113001059104,-79.65494396160108
PARKING VEHICLE LONGER THAN FIVE HOURS,NR 6481 WESTERN SKIES WAY,1/2/2021,21:12,269,43.63137812120904,-79.71309568533394
PARKING VEHICLE LONGER THAN FIVE HOURS,NR 6417 WESTERN SKIES WAY,1/2/2021,21:18,270,43.62928244002569,-79.71375312087996
PARKING VEHICLE LONGER THAN FIVE HOURS,NR 2610 WIDEMARR RD,1/2/2021,21:26,271,43.50218721399526,-79.64787449844725
PARKING VEHICLE FACING WRONG DIRECTION,NR 775 FABLE CRES,1/2/2021,21:36,272,43.620609162213974,-79.71189368983262
STOPPING VEHICLE ON SIDEWALK,NR 515 LOUIS DR,1/2/2021,21:50,273,43.56482303510602,-79.62241510810664
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,50 ABSOLUTE AVE,1/2/2021,22:15,274,43.5948729,-79.6357407
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,60 ABSOLUTE AVE,1/2/2021,22:15,275,43.5944133,-79.6351262
PARKING VEHICLE IN PROHIBITED AREA,OP 1296 SILVER SPEAR RD,1/2/2021,22:16,276,43.62007968152158,-79.60330221807453
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE WITHOUT CLEAR,NR 3672 KARIYA DR,1/2/2021,22:16,277,43.5911385,-79.6374271
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,60 ABSOLUTE AVE,1/2/2021,22:20,278,43.5944133,-79.6351262
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE WITHOUT CLEAR,NR 3620 KARIYA DR,1/2/2021,22:21,279,43.5911385,-79.6374271
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,50 ABSOLUTE AVE,1/2/2021,22:21,280,43.5948729,-79.6357407
PARKING VEHICLE IN PROHIBITED AREA,NR 1355 SILVER SPEAR RD,1/2/2021,22:22,281,43.6188324,-79.5999796
PARKING VEHICLE IN PROHIBITED AREA,265 ENFIELD PL,1/2/2021,22:24,282,43.5913733,-79.6355502
PARKING VEHICLE WITHIN 3 METRES OF A FIRE HYDRANT,NR 3480 HAVENWOOD DR,1/2/2021,22:33,283,43.62054605,-79.59455608030495
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE WITHOUT CLEAR,NR 4066 CONFEDERATION PKY,1/2/2021,22:44,284,43.58642526086957,-79.64678017391304
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE WITHOUT CLEAR,515 CURRAN PL,1/2/2021,22:50,285,43.58611,-79.646422
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE WITHOUT CLEAR,NR 515 CURRAN PL,1/2/2021,22:52,286,43.58611,-79.646422
STOPPING VEHICLE IN A PROHIBITED AREA,NR 520 CURRAN PL,1/2/2021,22:53,287,43.5854084,-79.6471341
PARKING VEHICLE IN PROHIBITED AREA,99 ACORN PL,1/2/2021,22:55,288,43.6053974,-79.64495238726676
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE WITHOUT CLEAR,NR 4050 BRICKSTONE MEWS,1/2/2021,22:57,289,43.585636,-79.6470307
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE WITHOUT CLEAR,NR 4099 BRICKSTONE MEWS,1/2/2021,22:58,290,43.5864745,-79.6479482
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE WITHOUT CLEAR,4099 BRICKSTONE MEWS,1/2/2021,22:59,291,43.5864745,-79.6479482
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE WITHOUT CLEAR,NR 4099 BRICKSTONE MEWS,1/2/2021,23:01,292,43.5864745,-79.6479482
PARKING VEHICLE IN PROHIBITED AREA,NR 80 ACORN PL,1/2/2021,23:02,293,43.6042088,-79.6451801
PARKING VEHICLE IN PROHIBITED AREA,NR 4055 PARKSIDE VILLAGE DR,1/2/2021,23:15,294,43.5852103,-79.6477794
PARKING VEHICLE IN PROHIBITED AREA,NR 117 JOHN ST,1/2/2021,23:53,295,43.5837357,-79.6213904
PARKING VEHICLE IN PROHIBITED AREA,NR 2177 SHEROBEE RD,1/3/2021,0:32,296,43.57331085,-79.60242868984534
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,3570/3590 COLONIAL DR,1/3/2021,0:52,297,,
PARKING ON A DESIGNATED FIRE ROUTE,7475 GOREWAY DR,1/3/2021,0:54,298,43.7226396,-79.6437191
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,3570/3590 COLONIAL DR,1/3/2021,0:54,299,,
